Aff,Neg,Judging,Win
"Emory GN																				Gu & Navarrete","Florida State RS																				Rubin & Scopa","Marshall, Katie",Neg
"Emory HS																				Hughes & Singh","Georgia MW																				McWhorter & Weintraub","Bagwell, Dan",Aff
"Samford EW																				Emerson & Windus","Georgia GM																				Gollner & Mokhemar","Lee, Edward",Aff
