Aff,Neg,Judging,Win
"Georgia RS																				Rice & Stupek","Baylor RW																				Ramsey & Wilson","Najor, Bruce",Aff
"Harvard BG																				Borbon & Gordon","Trinity GG																				Glancy & Grimsley","Hamaker, Joe",Aff
"George Mason AH																				Ahmed & Howley","Oklahoma JS																				Juarez & Smith","Kozak, Christopher",Neg
"Michigan WG																				Walrath & Goldschlag","Florida JC																				Jean-Baptiste & Callaghan","Thomas, Michelle",Aff
"Michigan SV																				Smith & Vance","UC Berkeley NR																				Neelakandan & Ramesh","Hart, Andrew",Neg
"Kansas FM																				Fry & Massa","George Mason BH																				Buckner & Hansen","Rooney, David",Aff
"Kansas BD																				Butler & Delph","Rutgers-Newark AH																				Asafu-Adjaye & hemnarine","Sanchez, Taylor",Aff
"Michigan State SJ																				Scullion & Jones","Wayne State AD																				Anton & Davis","Fitzmier, Daniel",Aff
"Georgia HH																				Haskins & Hoover","Iowa GL																				Gustavson & Liriano","McCullough, Hunter",Neg
"Emory BY																				Burgess & Yamout","Texas SW																				Sen & Watts","Sugino, Corinne",Neg
"Michigan State BP																				Brown & Pepper","Liberty HT																				Harrington & Thomas","Gerber, Matt",Neg
"Georgia AR																				Agrawal & Ramanan","Harvard CM																				Cooper & Midha","Hagney, Mitch",Neg
"Trinity DK																				Dill & Khullar","Northwestern FL																				Fridman & Lowe","Quinn, Lee",Aff
"Kansas EH																				Esquivel-Yglesias & Henry","Pittsburgh OP																				Osei & Pickert","Joseph, Anthony",Aff
"Wichita State WL																				Welch & Lett","Wake Forest HV																				Harper & Van Schenck","Godbey, Samantha",Aff
"Rochester AV																				Abdulla & Voltime-Fleurisca","Northwestern GY																				Garcia-Mendoza & Young","Murray, Steven",Neg
"Minnesota KW																				Kostelny & Wang","James Madison BK																				Bellis & Konrad","Smale, Bee",Neg
"Purdue SJ																				Sidhu & Joseph","Wake Forest EW																				Edwards & Williams","Buttgereit, Thomas",Neg
"Wake Forest MT																				Marban & Tomasi","Dartmouth SS																				Safieddine & Srinivasan","Adam, Amar",Aff
"Baylor SW																				Smith & Wyatt","Dartmouth TE																				Tambe & Estrada","McBride, Brian",Neg
"Michigan JR																				Jacobs & Roche","UT Dallas BG																				Brown & Gilbert","Turner, John",Aff
"Texas AC																				Ambrose & Cupo","Wichita State HP																				Hinecker & Phillips","Larsen, Beau",Neg
"Oklahoma PW																				Pickens & White","Kansas HM																				Hegna & Martin","montee, andy",Neg
"NYU BS																				Booth & Sherman","Trinity LP																				Lair & Pereda","Stanfield, Daniel",Neg
"Emory AJ																				Allums & Jablonski","Kansas HO																				Hoffman & Ottinger","Clifford, Bennett",Aff
"Indiana AD																				Aaronson & Dehmlow Dunne","Iowa BR																				Bennett & Roetlin","Manchester, Jack",Aff
"Rutgers-Newark WL																				Wyche & Landrum","Southern California WK																				Wang & Kuffour","Evans, Ignacio",Aff
"Kentucky HR																				Hackman & Rivas","Central Oklahoma CM																				Colquitt & Moore","Ogbuli, Anthony",Aff
"Gonzaga BM																				Basler & Martin","UNLV RR																				Reese & Ryerson","Sheaff, Simon",Neg
"Louisville BY																				Benthall & Yeargin","Wayne State CH																				Curtiss & Husic","Barlow, Michael",Aff
"Michigan PP																				Pujol & Pierry","Emporia State KM																				kuiper & Monteith","Revelins, Armands",Aff
"West Virginia BM																				Baker & Modestita","Michigan SK																				Stras & Kane","Jackson, Jalisa",Aff
"Pittsburgh KL																				Katz & Lee","Iowa NO																				Namakula & Oberto-Besso","Walberg, Alaina",Neg
"Northwestern JW																				Jankovsky & Weideman","UC Berkeley GF																				Gray & Fleming","Garrett, Lincoln",Aff
"Liberty MS																				Macumber & Samuel","Missouri State VW																				Waggoner & Van Dyke","Bhattacharjee, Risha",Neg
