Aff,Neg,Judging,Win
"Mary Washington/Minnesota HK																				Huebler & Kowal","Missouri State PE																				Evans & Pieper","Hilligoss, Derek",Neg
"George Mason MT																				Mahowald & Turpen","Missouri State DH																				Dickerson & Hopkins","Szczechowski, Erin",Neg
"Miami HL																				Homeijer & Lynch","Georgetown GW																				Gibson & Won","Najor, Bruce",Neg
"UC Berkeley GF																				Gray & Fleming","Kansas EH																				Esquivel-Yglesias & Henry","Hirn, Kevin",Aff
"Liberty AS																				Allison & Stewart","Wayne State RN																				Nelson & Reynolds","Brennan, Eli",Neg
"Missouri State SK																				Kauffman & Slocum","Emory GN																				Gu & Navarrete","Thies, Samantha",Neg
"Georgia State AC																				Arashanapalli & Croitoru","Missouri State KD																				King & Dobler","Matheson, Calum",Aff
"James Madison HM																				Harris & Mingo","Navy RB																				Bowden & Rock","McVey, Alex",Neg
"UC Berkeley NR																				Neelakandan & Ramesh","Trinity DK																				Dill & Khullar","Stanfield, Daniel",Aff
"Wake Forest AC																				Aaron & Cisse","Kansas FM																				Fry & Massa","montee, andy",Aff
"UNLV HS																				Horn & Smith","Harvard BG																				Borbon & Gordon","Walters, Heather",Aff
