Aff,Neg,Judging,Win,Points/Ranks
"Minnesota FJ																				Ferguson & Jamal","Cornell MS																				Ma & Safer","O'Gorman, Tom",Aff,"29																					Ferguson																													29.2																					Jamal																													28.9																					Ma																													29.1																					Safer"
"Minnesota LR																				Lamet & Rao","Mary Washington HA																				Huebler & Ansah","Langr, Maddie",Aff,"29																					Lamet																													29.1																					Rao																													28.5																					Huebler																													28																					Ansah"
"Liberty BS																				Barnett & Stewart","George Mason LR																				Ludwig & Reddy","Miller, Ellie",Neg,"28.2																					Barnett																													28.3																					Stewart																													28.4																					Ludwig																													28.5																					Reddy"
"Minnesota KW																				Kostelny & Wang","George Mason BS																				Biggs & Smalls","Dabney, Amanda",Aff,"28.5																					Kostelny																													28.4																					Wang																													28.3																					Biggs																													28.2																					Graham"
"Cornell CD																				Chang & Dahms","Navy LG																				Lewis & Gutierrez","Wimberly, Rob",Neg,"28.8																					Chang																													28.9																					Dahms																													29.1																					Lewis																													29																					Gutierrez"
"Mary Washington CL																				Coon & Lewis","Samford EW																				Emerson & Windus","Poapst, Jackie",Aff,"29.1																					Coon																													29.2																					Lewis																													28.9																					Emerson																													29																					Windus"
"James Madison BK																				Bellis & Konrad","Liberty AG																				Alvord & Green","Bauer, Jenna",Neg,"28.4																					Bellis																													28.5																					Konrad																													28.6																					Alvord																													28.9																					Green"
